149.58521294744872+2.0511021474663345
149.39087088325016+2.1620059870790653
150.20883632701003+2.481896689467326
150.65293455256062+1.9968354323282516
150.4907342486029+2.775455476636149
150.70800450128917+2.2923079138321016
149.52907389888605+2.380132842599223
149.8696816933749+2.2940128432581703
149.4085188286604+2.3254806168960416
150.3819611985628+2.7583989889594354
149.467351585901+1.8555748532901803
150.5821815284711+2.3646581292455546
149.5756259224572+2.5756557406694176
149.74059167966976+2.1143853462467423
150.70415473552282+2.2974422796196023
150.20898821391458+2.438465255311449
150.7348282829339+2.401628027194563
150.2959245383487+2.3417856880009706
150.1158304922954+2.5636251878736367
150.34198780140503+2.73821253338221
150.10097737856543+2.4194825907304534
149.39776242881774+2.1489120549333993
150.68622133309736+2.6913488768607285
150.48767278493858+2.2701253764383513
150.46268615205182+2.1743238428508977
150.2685114630557+2.6926838282645016
150.60799098278733+2.374884584907848
150.00437872639145+2.038888167995627
150.37442726855042+2.254325437110818
150.47854341356708+1.61960625968247
149.63931181178208+2.003170521921524
150.50218113922077+2.061941819931815
150.24632811907557+2.3378050935837797
150.39675777074982+1.7356749505756417
149.46762622477476+1.990268067971037
150.07697888279554+2.360745273201224
150.26197317841934+2.7333163275316887
150.38268264059712+2.066270644250522
149.95220985509135+2.6513354852477065
149.88546565246907+2.3727972124093215
150.31050572245044+1.7294997858398036
150.54377284487575+2.6720989158047077
150.0603158423008+2.3827533248120436
149.99163063509118+1.7121250955695122
150.4194198851807+2.005979939420596
150.23512562825243+1.644417289694206
149.50585962534527+2.348143737428386
149.44626432898912+2.1153056424744183
150.48562353166034+1.8719002125241235
150.7167183448826+2.1686344206430905
149.7806219743827+1.6456830803875973
150.49589216709958+2.8008336939089915
149.84249666099896+1.7564009097301856
149.59754040540258+1.8657830709523242
149.98832200622317+2.2070238197331493
150.47179950945184+1.809775134460186
149.50404698153005+2.409021540859159
149.50403087499154+2.4090170583289097
150.00754101494957+2.1322181886743086
150.4943102232683+2.797773891601763
150.58844458524257+2.3750748504988715
150.22343907138142+2.307172535524493
150.5754469642336+2.126197499507719
150.21024781784206+1.853808291979316
149.48249429365845+2.4843756061449307
149.89822002034893+2.1637172918377887
149.98534376381664+2.0712655459629254
149.88429171815005+1.815272103426277
150.1806893971024+2.0759807829062584
149.9629863972916+2.2932342132274846
149.79898923351+1.9758106017810082
150.21075221998663+2.391454707111498
150.2283565686041+2.470657001813151
149.80458262095772+1.7581168747348324
149.62144524384718+2.108793824622946
149.99204934228808+2.566554142650056
150.43836130556275+1.8561526830040866
150.70378262311687+2.3699674612405843
150.69940962680317+2.662925127957596
150.23192832698584+1.6587732828755386
150.48746739110808+2.0328418655949876
150.42479397591123+2.3816390704800114
149.60504312842366+2.0522032002521473
150.02937619879125+2.7238568772411673
150.41339388741636+2.009617720369784
149.52672249809962+2.258640147910196
149.87920647678303+2.2258083272212614
149.96084662417036+2.177940782090752
149.69517377248178+2.3896114469729652
150.2174774018655+2.0205055043272675
150.6198527152361+2.2894236727680766
150.0332992091999+1.8811856868915933
149.66607575647862+2.7402267130514137
150.408396885476+2.5375130332726545
150.3444046767634+2.358912022526606
149.50224599848912+2.024043685799381
149.6981012839138+2.209158455710154
149.82837732088112+2.702199236352824
150.21265913111895+1.8225796574748496
149.89946537449157+1.7659007983044184
149.4598500993579+2.421689226379741
149.95942196194133+1.8935043471748922
150.1073668526344+1.7591837996073785
150.6384373187022+2.3913157251476345
150.01459612628312+1.7088600264405738
149.74761839220875+1.689921945935716
149.85362874541772+2.302114367469953
149.71015198110007+2.438897301660326
149.62714238695355+2.12520874104518
150.39589482584367+1.776191761473643
150.05133152945015+2.0248349173074702
150.21414089910166+2.4749701341143964
150.27679883577628+2.0465644948573893
149.76103605401164+2.575870360065629
149.77687936335715+1.7813204955907025
150.5751991971478+2.6972055455835005
150.38114733967555+2.7459447804420583
150.04291670516602+2.7344409975318635
150.34324356765785+2.3340624553417277
150.55530299428887+1.8159433570236958
150.44914597849993+1.9237969906244987
149.89611326048833+2.0322581341207098
149.7467268714546+1.6974939664329234
150.28930875016061+2.5519916099366804
150.3824100474999+1.9417594116397523
150.24776261448807+2.442142136549307
149.6615597755798+2.116333044971276
150.44126591529397+2.0142746531425315
150.42828449393497+1.9368528664429816
149.7066673860096+2.1908900837654057
149.755398622839+2.7385645488185517
150.07934491428054+2.3405613879283447
149.8429336535499+2.2689842351643135
149.92304853967727+2.026884107857502
150.2480541021827+2.808917309852718
149.52931224355916+2.2231664071934643
149.54832715820785+1.920155006664143
149.93100321289538+2.724043350782069
150.18978739821802+2.6998149480305353
149.60622559622098+1.7426212190515946
150.59184615574404+2.6193963388466828
149.92150887880396+2.1204262920332915
150.51437255568788+2.5488925546692065
149.6129525585322+2.090882045317908
150.28836727799305+2.593903625102226
150.29316956137495+2.4516897464836456
149.55261980553877+2.4906762698794886
149.77691255818195+2.444281973258586
149.73625170273118+2.0279323336840553
150.6163938233283+2.357938443890598
149.97694754400183+1.8069058465203287
150.4641872197594+2.5545828154972448
150.13953170920522+1.8764385218660027
150.6732022601148+1.9065287893295286
149.85196609915013+2.659053812334362
149.53372027536338+1.8091961641193313
149.89455016304777+2.3682881261753854
150.036400517192+2.214016630282832
149.46980686342545+1.9252939252426
149.6651175156672+2.3176257359513732
150.24121269421508+1.770278550455915
150.368225684096+1.64794446208102
150.65148210698112+2.0708770091532327
150.42163976612608+2.6202949287867203
149.87329218041012+1.9863525857344873
150.40186314845886+2.3773246014333176
149.4169365679448+2.4568282983215637
150.05734774372002+2.7728466263700327
