CID,SN_RA,SN_DEC,HOSTGAL_RA,HOSTGAL_DEC,REDSHIFT_SPEC,HELP_ID,HELP_RA,HELP_DEC,F_MIPS_24,FErr_MIPS_24_average,F_SPIRE_250,FErr_SPIRE_250_average,F_SPIRE_350,FErr_SPIRE_350_average,F_SPIRE_500,FErr_SPIRE_500_average,F_PACS_100,FErr_PACS_100_average,F_PACS_160,FErr_PACS_160_average,ID_SE,RA_SE,DEC_SE,FLUX_AUTO_VISTA_Ks_µJy,FLUX_AUTO_VISTA_Y_µJy,FLUX_AUTO_VISTA_J_µJy,FLUX_AUTO_VISTA_H_µJy,FLUX_AUTO_VOICE_u_µJy,FLUX_AUTO_VOICE_g_µJy,FLUX_AUTO_VOICE_r_µJy,FLUX_AUTO_VOICE_i_µJy,FLUX_AUTO_HSC_G_µJy,FLUX_AUTO_HSC_R_µJy,FLUX_AUTO_HSC_I_µJy,FLUX_AUTO_HSC_Z_µJy,FLUXERR_AUTO_VISTA_Ks_µJy,FLUXERR_AUTO_VISTA_Y_µJy,FLUXERR_AUTO_VISTA_J_µJy,FLUXERR_AUTO_VISTA_H_µJy,FLUXERR_AUTO_VOICE_u_µJy,FLUXERR_AUTO_VOICE_g_µJy,FLUXERR_AUTO_VOICE_r_µJy,FLUXERR_AUTO_VOICE_i_µJy,FLUXERR_AUTO_HSC_G_µJy,FLUXERR_AUTO_HSC_R_µJy,FLUXERR_AUTO_HSC_I_µJy,FLUXERR_AUTO_HSC_Z_µJy,SERVS_ID,SERVS_RA_ch1,SERVS_DEC_ch1,FLUX_AUTO_ch1,FLUXERR_AUTO_ch1,SERVS_RA_ch2,SERVS_DEC_ch2,FLUX_AUTO_ch2,FLUXERR_AUTO_ch2
1435094,52.884792,-28.862623,52.884744,-28.861792,1.017,HELP_J033132.349-285142.638,52.88478593002286,-28.8618439459918,148.1101,14.546745,7424.6383,4169.7698,3278.2996,3180.4813000000004,5203.8164,5059.614,27472.971,19027.487,33392.1,21782.782,194050.0,52.88483051798925,-28.861809371641915,88.00026905928732,27.25365788994377,40.04169008927717,57.944363947900584,0.4736003340053763,0.9996776900399988,3.03812752945856,7.076973999030291,0.6453944107447714,4.54549935002716,8.105533405653304,17.22641081312654,0.3645738732040529,0.0788787484720814,0.1306035904110221,0.2260343495197571,0.1712788002825768,0.1030790407740004,0.0824068711734189,0.2067857393089951,0.0918973961705749,,0.1732972742932751,0.3546538238049074,SERVS1_J033132.36-285142.5,52.884867,-28.861828,128.2,0.9,52.884822,-28.861808,102.1,0.9
1309227,53.180794,-28.452227,53.180926,-28.452267,0.92576,HELP_J033243.439-282708.244,53.18099383970208,-28.45228995222832,84.52612,12.463790000000005,10166.130000000001,3885.6201499999997,3032.7547,3161.55555,3132.761,3131.7288000000003,12200.029,11480.801,20603.859,17531.684,519006.0,53.180997484490256,-28.452280196927333,15.86122770739656,7.121521667764228,9.814116295809251,11.45315662886489,0.838509524395795,1.1953029738302448,2.076171379984932,3.0166157902545043,1.1272524814413838,1.5850391732412312,3.9571088794581377,5.3040156887691845,0.312367149836467,0.0664202117818704,0.1142825450324987,0.1944717856081819,0.1118580357460184,0.06109405818887,0.0444847403597879,0.1126429900591167,0.0319147406619108,0.1174043031211281,0.0753835302536324,0.1446676142070198,SERVS1_J033243.43-282708.2,53.180943,-28.452265,15.8,0.4,53.180995,-28.452293,14.1,0.6
1320474,53.999931,-28.078095,54.00006,-28.078137,0.78842,HELP_J033600.040-280441.087,54.00016685124661,-28.07807979934557,16.773245,14.197282,,,,,,,,,,,859080.0,54.00016422188013,-28.078080910642875,21.224819225984135,10.40514172572641,13.446671646701096,17.375143496705686,,0.0700635276567793,,,0.9812118850235784,0.790061319945695,7.103676900129488,9.389178594732616,0.2325004156035457,0.0577068585905512,0.1019556503553236,0.1533370655223301,,,,,0.0461969155039019,,0.08808092899549,0.177562601471165,SERVS1_J033600.04-280440.9,54.000169,-28.078037,28.6,0.6,,,,
1290816,54.172512,-27.84,54.172912,-27.840004,0.21847,HELP_J033641.518-275024.189,54.17299008118326,-27.840052459379777,10.435547,9.61788225,,,,,,,,,,,1081542.0,54.17301103491789,-27.840041124457592,10.086702225584162,7.176733177924036,7.514969113887481,8.284684993517066,,,0.3979059194691185,0.4409770623467368,3.259189406123634,0.050994530776411,6.473667657402851,7.171163097503237,0.3373812741498851,0.078662866618418,0.1345987349297256,0.2114480299901388,,,,,0.0539614253789256,,0.0953626798485496,0.2053576142251853,SERVS1_J033641.52-275024.4,54.17291,-27.840083,3.0,0.4,54.173059,-27.840159,2.5,0.4
1842087,53.078579,-27.707424,53.078609,-27.707456,1.08349,HELP_J033218.890-274226.846,53.07870861202517,-27.70745710590845,70.68803,19.768270500000007,1234.098,1141.25052,2101.9075,1775.134,1322.2909,1410.83495,17081.593,15081.9125,9813.471,11057.0095,1210413.0,53.07860678202178,-27.70753997979967,6.7021601312973145,4.437361387911823,4.818794433627314,6.599624103150992,0.7545916583957679,1.0347513459963849,1.3250150159067815,1.9896688466151704,0.9600671279568422,1.361047242493743,2.047157232235465,3.017616182191635,0.2207114775462551,0.0561743739894611,0.1062253185414732,0.1679205743432876,0.08775081534088,0.0423314124890178,0.0442159437150213,0.1261980840658182,0.0219038134661401,0.067448258518886,0.0528042837748514,0.0984870162866528,SERVS1_J033218.87-274226.9,53.078624,-27.707425,15.7,1.1,53.07866,-27.707492,9.9,0.8
1339246,52.980213,-27.713514,52.980254,-27.712733,0.95791,HELP_J033155.277-274246.056,52.98031978002285,-27.7127933759918,3.448439,4.067032429999999,,,,,,,,,,,1202705.0,52.98029553959705,-27.712791173099756,80.79930031514648,35.1783932937978,46.04346510498174,60.50866901006603,0.1988304063121493,0.6031881486598609,4.560705192310155,11.99403191167488,1.0020615541939903,3.864559515814257,13.312720067541113,27.87930865372248,0.3091209903295724,0.0785899244414291,0.1453957917163628,0.2306705929362781,0.1241246451059564,0.0623092080054323,0.0668234026081363,0.1900654839690738,0.033009402206615,0.0932466933840514,0.0769113327141902,0.1482477931803726,SERVS1_J033155.27-274245.8,52.980296,-27.712704,101.8,0.8,52.980268,-27.712747,70.0,0.6
1253180,52.867516,-28.937798,52.867115,-28.937235,0.46154,HELP_J033128.119-285614.110,52.86716407002285,-28.937252725991797,262.81113,14.80913000000001,9147.137,1582.39975,8864.171,2229.9027499999993,7854.3386,4420.3241,36601.53,21667.857,37162.5,19580.107500000002,152801.0,52.867184611207016,-28.937264338059123,159.30888572768984,76.00532142972433,98.96909523296284,131.65580109455712,4.124339428213979,9.353057407922048,28.238004298433523,46.70016338611147,8.855420734351524,6.080761922537161,43.73988128714268,62.3796882517804,0.513240693275815,0.1113867850393015,0.1853049237418371,0.321637941572117,0.1750532063776677,0.1113645631889947,0.0860971890573733,0.215223268790641,0.1145145075146548,,0.2642481364417532,0.5138766409797766,SERVS1_J033128.13-285614.0,52.8672,-28.937197,103.3,0.9,52.867203,-28.937272,80.7,0.8
1256620,53.177006,-28.471077,53.177486,-28.471057,0.27451,HELP_J033242.602-282815.983,53.17750688002285,-28.4711064359918,841.3104,10.753899999999987,14069.16,2376.5574999999994,8361.292000000001,4601.3836,5316.517,4631.48375,37083.99,21009.8865,45850.784,21238.622500000005,495180.0,53.177550352306895,-28.471063998755568,221.13485452721844,120.36460639896367,147.27994048499184,184.0922899470032,13.685390685428914,32.254268729942545,65.37233536445122,91.16228451332664,31.13720313785433,62.53702252036453,84.94002803571222,104.08343103670568,0.5616449406430422,0.1198942938344019,0.2059313080192526,0.3505132403154264,0.199524439291961,0.1096168900558382,0.0798563553282027,0.2018370126845118,0.0636643086855881,0.1766878830019632,0.1354955665252124,0.25697045974638,SERVS1_J033242.60-282816.2,53.17748,-28.471174,113.7,0.7,53.177515,-28.471152,110.3,1.0
1550103,53.425472,-28.878401,53.425765,-28.878149,0.53166,HELP_J033342.175-285241.413,53.42573084215485,-28.878170172902003,62.146954,10.420046000000005,3099.1040000000003,1562.4249,999.1727000000001,1056.60286,2229.7714,1976.31955,16973.365999999998,14066.438799999996,7486.1555,8447.818500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305873,53.60075,-27.665558,53.600514,-27.665677,0.60092,HELP_J033424.143-273956.618,53.60059453493793,-27.665727211728807,41.954674,14.469033,1554.1999,1258.636375,1407.2621000000001,1309.129585,3073.8451,3073.04152,19098.923,15604.3155,11552.403,11268.99405,1249696.0,53.600592050372114,-27.66572606450533,5.12426522327472,4.7423980130022185,4.080708757164932,4.225522319296782,1.344591619254444,1.5567310937912695,2.5867210663188764,2.6648600120033143,1.6918848439811718,2.4326319139621377,3.928391837637704,4.453042089107293,0.2772860260829975,0.0662747088301488,0.1165232542147477,0.1804229302482482,0.0903170724895443,0.04977066244458,0.0516389321771322,0.146441876355215,0.0318084500556748,0.0907351215599731,0.0880129103061724,0.1524624422368588,SERVS1_J033424.09-273956.8,53.600395,-27.665716,6.1,0.8,53.600388,-27.665827,5.6,0.6
1297580,52.221073,-28.735945,52.221131,-28.735949,0.63561,HELP_J032853.083-284409.397,52.221178621250424,-28.735943706640235,102.80501,14.296567500000002,2571.3507999999997,1888.9193500000001,1630.3646999999999,1553.6797,1913.7175,2136.78613,18613.968,15072.426500000003,13291.161,11772.1255,258917.0,52.22119284874142,-28.73596274341322,41.407899443803274,17.903040742325846,23.123203431418663,31.056463522165853,0.1977632542930627,1.0958552687205332,3.502214969495872,10.103215115660785,0.9211178533582836,,9.06411068065257,14.26842379176793,0.2784992186173478,0.06091209776424,0.0985277042769663,0.1573415232082012,0.0857266467902287,0.0523571771355508,0.0440592821358625,0.1362856403599296,0.057293953026905,,0.127728929869328,0.2664999051430136,SERVS1_J032853.06-284409.4,52.221101,-28.735949,35.2,0.7,,,,
1316461,52.5812,-28.748646,52.581057,-28.748799,0.60984,HELP_J033019.471-284455.839,52.58113016002285,-28.7488442059918,96.739555,14.932829999999996,2760.8826,2694.35135,2138.2217,2370.527,2201.1106,2304.9106699999998,22098.365999999998,17793.139799999997,23871.307,17522.582,253674.0,52.58112642670975,-28.74884142181522,126.10723396998084,57.27854797901917,72.71968684459857,96.39843870283842,0.6900681769057951,3.0835628162143034,13.73723096084201,33.77162824861631,3.19668615426732,1.7942906746201517,30.80888633997491,45.11639600695769,0.4452745220354031,0.098510336028542,0.1596895586059336,0.2604831489551482,0.1347679691715959,0.0855381310153113,0.0742326122061976,0.2266072045778627,0.0811450734513832,,0.1804726280978646,0.3698261759002254,SERVS1_J033019.46-284455.7,52.581081,-28.748787,97.9,0.9,52.581089,-28.748835,60.8,0.9
1854103,54.290012,-28.73485,54.290473,-28.735391,0.4668,HELP_J033709.717-284407.822,54.29048888002285,-28.7355061759918,197.79712,15.324280000000002,14069.667000000001,2667.7754999999993,14154.256,4907.479,3799.8438,3747.655325,20187.796,15664.984000000002,54087.296,19788.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVS1_J033709.73-284407.5,54.290568,-28.735447,164.7,1.2,54.290545,-28.735395,121.8,1.2
